1	-0.020068	1.337075	1.357143	1	18
2	1.81576		2.444558	0.628798	-1	-1
3	3.621655	7.892177	4.270522	0	1
4	8.171315	10.11712	1.945805	1	1
5	10.266553	14.357483	4.09093 0	1
6	15.764059	23.327098	7.563039	0	1
7	24.584014	28.804649	4.220635	1	3
8	29.452948	37.464966	8.012018	0	1
9	37.923696	42.064512	4.140816	1	4
10	44.059751	48.020975	3.961224	0	1
11	48.779025	50.325737	1.546712	1	5
12	50.545011	52.600567	2.055556	1	5
13	54.72551	59.494898	4.769388	0	2
14	59.793991	61.989229	2.195238	1	6
15	63.994444	67.177438	3.182994	0	1
16	68.284694	70.110771	1.826077	-1	-1
17	77.304195	83.021429	5.717234	0	1
18	83.480159	86.393764	2.913605	1	1
19	86.642971	87.291723	0.648752	-1	-1
20	89.276984	91.59195	2.314966	0	1
21	93.637075	94.924376	1.287301	1	1
22	95.383107	101.020522	5.637415	0	2
23	101.159977	103.494898	2.334921	1	1
24	104.652041	109.700794	5.048753	0	2
25	109.910091	116.265873	6.355782	0	2
26	116.574943	118.720295	2.145352	1	6
27	121.094671	124.008277	2.913606	0	1
28	124.596712	126.093537	1.496825	1	12
29	126.642063	132.538889	5.896826	0	1
30	133.346825	137.218254	3.871429	1	14
31	139.203515	145.120295	5.91678	0	1
32	145.668821	148.6822	3.013379	1	11
33	148.881519	151.615533	2.734014	0	1
34	152.134127	154.089909	1.955782	1	18
35	156.135034	157.701701	1.566667	0	2
36	157.970862	165.204649	7.233787	1	15
37	167.189909	167.439569	0.24966	-1	-1
38	167.968141	170.522562	2.554421	0	2
39	171.011224	175.271769	4.260545	0	1
40	175.830272	178.005556	2.175284	1	10
41	178.683787	186.167007	7.48322	0	1
42	186.436168	193.24093	6.804762	0	1
43	193.719615	204.495351	10.775736	0	1
44	204.754535	208.396485	3.64195	1	2
45	208.865193	212.796485	3.931292	0	1
46	213.085601	217.3661	4.280499	0	1
47	217.735034	223.003288	5.268254	0	1
48	223.282426	225.347959	2.065533	1	11
49	227.692404	229.787868	2.095464	1	20
50	230.106916	236.213265	6.106349	0	1
51	236.821655	240.084467	3.262812	1	20
52	240.263832	242.628685	2.364853	0	1
53	244.653855	245.412358	0.758503	1	1
54	246.080612	246.789229	0.708617	0	2
55	248.804422	249.662698	0.858276	-1	-1
56	249.991723	254.711224	4.719501	0	1
57	255.140023	258.263152	3.123129	1	11
58	260.328231	261.785147	1.456916	1	12
59	261.964512	269.328005	7.363493	0	1
60	270.704649	273.787868	3.083219	1	12
61	274.655669	282.757483	8.101814	0	1
62	282.956803	286.189683	3.23288	1	23
63	288.234807	294.650454	6.415647	0	1
64	296.645692	303.270862	6.62517	1	24
65	303.80941	307.431406	3.621996	0	1
66	308.349093	312.559751	4.210658	0	1
67	313.806689	322.068141	8.261452	0	1
68	322.606689	330.159751	7.553062	0	1
69	330.638435	338.770181	8.131746	0	1
70	339.418481	343.439569	4.021088	1	28
71	343.818481	344.467234	0.648753	0	1
72	346.28288	353.117574	6.834694	0	1
73	353.725964	356.110771	2.384807	1	16
74	356.569501	361.348866	4.779365	0	1
75	361.45839	363.773356	2.314966	1	10
76	365.728685	371.77517	6.046485	0	2
77	372.503288	377.472222	4.968934	1	16
78	377.970862	380.255896	2.285034	0	2
79	382.440703	387.589229	5.148526	0	1
80	388.127778	390.213265	2.085487	1	33
81	391.260658	394.234127	2.973469	0	2
82	396.279252	396.808277	0.529025	-1	-1
83	397.007596	404.810091	7.802495	0	2
84	405.817574	406.556122	0.738548	1	19
85	409.329592	414.438209	5.108617	1	2
86	416.453401	423.517574	7.064173	0	1
87	424.754535	428.286735	3.5322	1	12
88	428.436168	428.995125	0.558957	-1	-1
89	431.020295	431.80873	0.788435	-1	-1
90	433.843878	439.720748	5.87687	0	1
91	439.910091	441.786054	1.875963	1	27
92	442.254762	442.903515	0.648753	0	1
93	444.05068	447.093991	3.043311	0	1
94	448.740023	452.461791	3.721768	1	18
95	453.379478	454.586961	1.207483	0	1
96	456.662018	458.667687	2.005669	0	2
97	461.940023	465.921202	3.981179	1	2
98	466.110544	470.470862	4.360318	0	2
99	470.789909	471.159297	0.369388	-1	-1
100	472.196712	472.805556	0.608844	-1	-1
101	473.144558	473.503968	0.35941	-1	-1
102	473.693311	488.200567	14.507256	0	2
103	488.359977	492.251361	3.891384	0	2
104	494.296485	501.640023	7.343538	0	1
105	502.128685	509.691723	7.563038	1	2
106	510.260204	512.674943	2.414739	0	1
107	513.772222	520.616893	6.844671	1	2
108	521.634354	529.46678	7.832426	0	1
109	530.115079	532.579705	2.464626	1	18
110	533.237982	540.870862	7.63288	0	1
111	541.459297	547.565646	6.106349	1	10
112	548.044331	550.698526	2.654195	1	17
113	551.606236	552.17517	0.568934	-1	-1
114	552.434354	558.161565	5.727211	0	2
115	558.281066	564.068141	5.787075	0	1
116	564.636621	570.48356	5.846939	1	36
117	571.820295	579.812358	7.992063	1	28
118	580.011678	587.574717	7.563039	0	1
119	588.123243	589.90941	1.786167	1	28
120	590.038889	592.613265	2.574376	0	1
121	592.892404	595.406916	2.514512	1	11
122	596.22483	599.587415	3.362585	0	1
123	600.185828	602.171542	1.985714	1	16
124	604.027098	607.369728	3.34263	0	1
125	608.028005	609.644558	1.616553	1	18
126	609.793991	609.913946	0.119955	-1	-1
127	610.522336	611.899433	1.377097	-1	-1
128	613.325964	613.954762	0.628798	0	1
129	614.154082	619.601927	5.447845	0	1
130	620.719161	631.564739	10.845578	1	45
131	631.813946	637.660884	5.846938	0	1
